Month,Total_CO2Emissions
6/1/28,125.6704305
7/1/28,135.3216237
8/1/28,126.6409747
9/1/28,117.9209104
10/1/28,109.3916826
11/1/28,113.8803034
12/1/28,125.9406934
1/1/29,135.5918866
2/1/29,126.9112376
3/1/29,118.1911733
4/1/29,109.6619455
5/1/29,114.1505663
6/1/29,126.2109563
7/1/29,135.8621495
8/1/29,127.1815004
9/1/29,118.4614362
10/1/29,109.9322084
11/1/29,114.4208292
12/1/29,126.4812192
1/1/30,136.1324124
2/1/30,127.4517633
3/1/30,118.7316991
4/1/30,110.2024713
5/1/30,114.6910921
6/1/30,126.7514821
7/1/30,136.4026752
8/1/30,127.7220262
9/1/30,119.001962
10/1/30,110.4727341
11/1/30,114.961355
12/1/30,127.021745
1/1/31,136.6729381
2/1/31,127.9922891
3/1/31,119.2722249
4/1/31,110.742997
5/1/31,115.2316179
6/1/31,127.2920079
7/1/31,136.943201
8/1/31,128.262552
9/1/31,119.5424877
10/1/31,111.0132599
11/1/31,115.5018808
12/1/31,127.5622708
1/1/32,137.2134639
2/1/32,128.5328149
3/1/32,119.8127506
4/1/32,111.2835228
5/1/32,115.7721437
6/1/32,127.8325337
7/1/32,137.4837268
8/1/32,128.8030778
9/1/32,120.0830135
10/1/32,111.5537857
11/1/32,116.0424066
12/1/32,128.1027966
1/1/33,137.7539897
2/1/33,129.0733407
3/1/33,120.3532764
4/1/33,111.8240486
5/1/33,116.3126695
6/1/33,128.3730595
7/1/33,138.0242526
8/1/33,129.3436036
9/1/33,120.6235393
10/1/33,112.0943115
11/1/33,116.5829324
12/1/33,128.6433224
1/1/34,138.2945155
2/1/34,129.6138665
3/1/34,120.8938022
4/1/34,112.3645744
5/1/34,116.8531953
6/1/34,128.9135853
7/1/34,138.5647784
8/1/34,129.8841294
9/1/34,121.1640651
10/1/34,112.6348373
11/1/34,117.1234582
12/1/34,129.1838481
1/1/35,138.8350413
2/1/35,130.1543923
3/1/35,121.434328
4/1/35,112.9051002
5/1/35,117.3937211
6/1/35,129.454111
7/1/35,139.1053042
8/1/35,130.4246552
9/1/35,121.7045909
10/1/35,113.1753631
11/1/35,117.6639839
12/1/35,129.7243739
1/1/36,139.3755671
2/1/36,130.6949181
3/1/36,121.9748538
4/1/36,113.445626
5/1/36,117.9342468
6/1/36,129.9946368
7/1/36,139.64583
8/1/36,130.965181
9/1/36,122.2451167
10/1/36,113.7158889
11/1/36,118.2045097
12/1/36,130.2648997
1/1/37,139.9160929
2/1/37,131.2354439
3/1/37,122.5153796
4/1/37,113.9861518
5/1/37,118.4747726
6/1/37,130.5351626
7/1/37,140.1863558
8/1/37,131.5057068
9/1/37,122.7856425
10/1/37,114.2564147
11/1/37,118.7450355
12/1/37,130.8054255
1/1/38,140.4566187
2/1/38,131.7759697
3/1/38,123.0559054
4/1/38,114.5266776
5/1/38,119.0152984
6/1/38,131.0756884
7/1/38,140.7268816
8/1/38,132.0462325
9/1/38,123.3261683
10/1/38,114.7969405
11/1/38,119.2855613
12/1/38,131.3459513
1/1/39,140.9971445
2/1/39,132.3164954
3/1/39,123.5964312
4/1/39,115.0672034
5/1/39,119.5558242
6/1/39,131.6162142
7/1/39,141.2674073
8/1/39,132.5867583
9/1/39,123.8666941
10/1/39,115.3374662
11/1/39,119.8260871
12/1/39,131.8864771
1/1/40,141.5376702
2/1/40,132.8570212
3/1/40,124.136957
4/1/40,115.6077291
5/1/40,120.09635
6/1/40,132.15674
7/1/40,141.8079331
8/1/40,133.1272841
9/1/40,124.4072198
10/1/40,115.877992
11/1/40,120.3666129
12/1/40,132.4270029
